UserName,Name,Category,Followers,Following,Post Created Date,Post Created Time,Number of Post,Total Likes,Total Comments,Total Interactions,Posts,Post URLs,Type,Link,Like and view counts disabled,Profile Picture URL,Hashtags
tibber,Tibber,Product/service,15698,33,2023-06-07,16:51:54,26,88,1,89,"['Your usual life, but better! With Homevolt you don’t have to change your behavior – the battery will automatically adapt to your home.']",https://instagram.com/p/CtMXI5_Mn0s,Video,https://instagram.com/tibber,False,https://instagram.fsog1-1.fna.fbcdn.net/v/t51.2885-19/210591462_561322628218951_5588817476684188116_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsog1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=zurBghzqU9EAX_Z1cRz&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfA0QAucfPTKLdDxNvswjYvh4PCxjZxbRihX0m_ZijEbMQ&oe=64A3E09C&_nc_sid=29ddf3,[]
tibber,Tibber,Product/service,15698,33,2023-06-06,13:46:21,26,187,4,191,"['Energy storage is an absolutely essential part to phase out fossil fuels. With Homevolt we can come together, embracing a renewable future.']",https://instagram.com/p/CtJdGbGphWd,Video,https://instagram.com/tibber,False,https://instagram.fsog1-1.fna.fbcdn.net/v/t51.2885-19/210591462_561322628218951_5588817476684188116_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsog1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=zurBghzqU9EAX_Z1cRz&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfA0QAucfPTKLdDxNvswjYvh4PCxjZxbRihX0m_ZijEbMQ&oe=64A3E09C&_nc_sid=29ddf3,[]
tibber,Tibber,Product/service,15698,33,2023-06-01,08:00:23,26,579,43,622,"['It’s here. And it’s beautiful.\n\n@polariumenergy and Tibber are proud to launch the revolutionary smart home battery; Homevolt. Charge your battery when the energy price is low, and use it when the price is high. You’re in control. You have the power. Available for pre-order now!*\n\n*Homevolt is currently available for pre-order in Norway and Sweden, but will be available in Germany and the Netherlands at a later stage. Link in bio.\n\nWhat do you think?\n\nFully charged greetings from us at Tibber ⚡️🔋']",https://instagram.com/p/Cs79hDNuoJm,Video,https://instagram.com/tibber,False,https://instagram.fsog1-1.fna.fbcdn.net/v/t51.2885-19/210591462_561322628218951_5588817476684188116_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsog1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=zurBghzqU9EAX_Z1cRz&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfA0QAucfPTKLdDxNvswjYvh4PCxjZxbRihX0m_ZijEbMQ&oe=64A3E09C&_nc_sid=29ddf3,[]
