UserName,Name,Category,Followers,Following,Post Created Date,Post Created Time,Number of Post,Total Likes,Total Comments,Total Interactions,Posts,Post URLs,Type,Link,Like and view counts disabled,Profile Picture URL
nionorge,NIO Norge,Cars,6407,83,2023-06-20,19:05:06,303,332,1,333,"['Bli kjent med NIOs første elektriske stasjonsvogn. Forhåndsbestill før 31.07.23 og få komfortpakke med på kjøpet. \n\nET5 Touring er en sporty modell, romslig nok for hele familien, og er designet for å skape enda mer glede i hverdagen.\n\nOpplev ET5 Touring du også!\n\nForhåndsbestill via link i bio🔗 \n\n#NIO #NIONorge #ET5Touring #journeyahead']",https://instagram.com/p/CtuEyNhsZ-I,Photo,https://instagram.com/nionorge,False,https://instagram.fsog1-1.fna.fbcdn.net/v/t51.2885-19/314509239_1884765135198939_1338205932986708711_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsog1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=To4eteHCP10AX-2i1YF&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBaZFH67ZxVXFW4vySb_2QsjHu7F7HRBwdZ70eTHJ21dQ&oe=64A1F76F&_nc_sid=29ddf3
nionorge,NIO Norge,Cars,6407,83,2023-06-20,16:00:51,303,578,3,581,"['EL6 din hverdagshelt, uansett hvor reisen tar deg.\n\nForhåndsbestill før 31.07.23 og få komfortpakke med på kjøpet. \n\nLink i bio🔗 \n\n#NIO #NIONorge #NIOEL6 #lifeison']",https://instagram.com/p/CttvsreM3cZ,Photo,https://instagram.com/nionorge,False,https://instagram.fsog1-1.fna.fbcdn.net/v/t51.2885-19/314509239_1884765135198939_1338205932986708711_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsog1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=To4eteHCP10AX-2i1YF&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBaZFH67ZxVXFW4vySb_2QsjHu7F7HRBwdZ70eTHJ21dQ&oe=64A1F76F&_nc_sid=29ddf3
nionorge,NIO Norge,Cars,6407,83,2023-06-19,17:53:16,303,838,6,844,"['Opplev nye NIO ET5 Touring - en helelektrisk stasjonsvogn for en aktiv livsstil.\n\nET5 Touring er spesielt utformet med tanke på familier og kombinerer allsidighet, ekstra plass og praktisk funksjonalitet. Her får du 450-liters stort bagasjerom - med ytterligere 42 liter under gulvet. Når baksetene legges helt flatt, øker det allsidige lasterommet betydelig og gir et totalt 1 300-liters stort lasterom.\n\nKraftfullt firehjulsdriftsystem, som består av en 150 kW fremre induksjonsmotor og en 210 kW bakre permanent magnetmotor. Dette resulterer i en total effekt på 360 kW (tilsvarende 489 hestekrefter).\n\nET5 Touring akselererer fra 0 til 100 km/t på kun 4,0 sekunder, mens de høytytende firekolbsbremsene resulterer i en effektiv bremselengde på lave 33,9 meter fra 100 km/t til 0.\n\nET5 Touring tilbyr ti ulike eksteriørfarger, inkludert årets eksklusive farge - Sunlight Gold. Du kan også velge blant fire interiørtemaer - alle inspirert av naturens jordfarger.\n\nForhåndsbestill allerede i dag, og få komfortpakken inkludert i prisen ved bestilling innen 31. juli. \n\nBestill via link i bio 🔗 \n\n#NIO #NIONorge #ET5Touring #JourneyAhead']",https://instagram.com/p/CtrXxNZsrsF,Photo,https://instagram.com/nionorge,False,https://instagram.fsog1-1.fna.fbcdn.net/v/t51.2885-19/314509239_1884765135198939_1338205932986708711_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsog1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=To4eteHCP10AX-2i1YF&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBaZFH67ZxVXFW4vySb_2QsjHu7F7HRBwdZ70eTHJ21dQ&oe=64A1F76F&_nc_sid=29ddf3
nionorge,NIO Norge,Cars,6407,83,2023-06-16,14:45:23,303,1064,11,1075,"['Torsdag denne uken lanserte vi ET5 Touring og EL6 for 150 heldige gjester på NIO House i Oslo👏 \n\nModellene ble avduket av Armin Hobruecker, Chief Exterior Designer, Sainath Ajayan, Lead Interior Designer, og Marius Hayler, landsjef for NIO Norge. \n\nLes mer på bloggen vår via nio.com/no_NO/blog\n\n#INSPIREDBYLIFE #NIONorge']",https://instagram.com/p/CtjT4V2MDYy,Photo,https://instagram.com/nionorge,False,https://instagram.fsog1-1.fna.fbcdn.net/v/t51.2885-19/314509239_1884765135198939_1338205932986708711_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsog1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=To4eteHCP10AX-2i1YF&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBaZFH67ZxVXFW4vySb_2QsjHu7F7HRBwdZ70eTHJ21dQ&oe=64A1F76F&_nc_sid=29ddf3
nionorge,NIO Norge,Cars,6407,83,2023-06-15,20:15:34,303,1279,13,1292,[],https://instagram.com/p/CthUyVSqzUl,Video,https://instagram.com/nionorge,False,https://instagram.fsog1-1.fna.fbcdn.net/v/t51.2885-19/314509239_1884765135198939_1338205932986708711_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsog1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=To4eteHCP10AX-2i1YF&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBaZFH67ZxVXFW4vySb_2QsjHu7F7HRBwdZ70eTHJ21dQ&oe=64A1F76F&_nc_sid=29ddf3
